roster_index,case_id,dataset,camera_count,effective_runability_status,raw_returncode,initialization_count,active_map_reset_count,trajectory_pose_count,trajectory_coverage_fraction,keyframe_pose_count,watchdog_status,adjudication_status,failure_category,accuracy_status,diagnosis
1,a05_3300_3700,AQUALOC,401,FAIL,-15,3,3,0,0.0,0,NOT_APPLICABLE_PRE_ADDENDUM,PRE_ADDENDUM_NO_RETRO_ADJUDICATION,zero_kf_or_no_track,NA,3 init / 3 reset; no trajectory; pre-watchdog attempt ended by SIGTERM
2,a07_10800_11200,AQUALOC,401,FAIL,-15,0,0,0,0.0,0,SIGTERM_SENT_FOR_CONFIRMED_ZERO_KF_SAVE_HANG,FAIL_RUNABILITY_AFTER_CACHE_CONTRACT_ADJUDICATION,zero_kf_or_no_track,NA,no initialization; confirmed zero-KF save hang
3,a08_4500_4660,AQUALOC,161,FAIL,-15,1,1,0,0.0,0,SIGTERM_SENT_FOR_CONFIRMED_ZERO_KF_SAVE_HANG,FAIL_RUNABILITY_AFTER_CACHE_CONTRACT_ADJUDICATION,zero_kf_or_no_track,NA,initialized then reset; confirmed zero-KF save hang
4,a09_6000_6200,AQUALOC,201,FAIL,0,1,0,68,0.3383084577114428,21,PASSIVE_RUNNER_EXIT_WITHOUT_WATCHDOG_SIGNAL,FAIL_RUNABILITY_AFTER_CACHE_CONTRACT_ADJUDICATION,partial_coverage,NA,normal exit with a valid but sub-threshold trajectory fragment
5,fjord1_s83_d10,NTNU,200,FAIL,-11,0,0,0,0.0,0,PASSIVE_RUNNER_EXIT_WITHOUT_WATCHDOG_SIGNAL,FAIL_CACHE_CONTRACT_VALIDATION,zero_kf_or_no_track,NA,no initialization; SIGSEGV after zero-KF save signature appeared
6,mclab1_s60_d15,NTNU,300,PASS,0,1,0,290,0.9666666666666667,56,PASSIVE_RUNNER_EXIT_WITHOUT_WATCHDOG_SIGNAL,PASS_CACHE_ONLY_V2_POST_AUDIT_CORRECTED,pass,AUTHORIZED,normal exit; continuous trajectory passes the frozen gate
7,cirs_s575_d30,CIRS,150,FAIL,255,0,0,0,0.0,0,PASSIVE_RUNNER_EXIT_WITHOUT_WATCHDOG_SIGNAL,FAIL_CACHE_CONTRACT_VALIDATION,config_abort,NA,startup abort: Camera.fps YAML node is not an integer
8,cirs_s900_d30,CIRS,150,FAIL,255,0,0,0,0.0,0,PASSIVE_RUNNER_EXIT_WITHOUT_WATCHDOG_SIGNAL,FAIL_CACHE_CONTRACT_VALIDATION,config_abort,NA,startup abort: Camera.fps YAML node is not an integer
9,a02_7600_8000,AQUALOC,401,FAIL,-15,0,0,0,0.0,0,SIGTERM_SENT_FOR_CONFIRMED_ZERO_KF_SAVE_HANG,FAIL_RUNABILITY_AFTER_CACHE_CONTRACT_ADJUDICATION,zero_kf_or_no_track,NA,no initialization; confirmed zero-KF save hang
10,mclab2_s110_d10,NTNU,200,FAIL,0,3,2,30,0.15,6,PASSIVE_RUNNER_EXIT_WITHOUT_WATCHDOG_SIGNAL,FAIL_RUNABILITY_AFTER_CACHE_CONTRACT_ADJUDICATION,partial_coverage,NA,3 init / 2 reset; only the final short trajectory fragment survived
