dataset_family,sequence,start,end,window_unit,prior_artifact_count,prior_learned_seen,prior_vins_seen,prior_parameter_use,allowed_role,evidence_paths,decision_reason
afrl,bus_outside,320,340,second,26,true,true,true,DEVELOPMENT_ONLY,logs/afrl_cave_v31/external_hybrid_xfeat_every2_jul18_causal_more_afrl_bus_s320_d20_oldcontract_microburst/afrl_cave_cam0_pinhole.yaml;logs/afrl_cave_v31/external_hybrid_xfeat_every2_jul18_causal_more_afrl_bus_s320_d20_oldcontract_microburst/cave_gennie_short.bag;logs/afrl_cave_v31/external_hybrid_xfeat_every2_jul18_causal_more_afrl_bus_s320_d20_oldcontract_microburst/features.bag;logs/afrl_cave_v31/external_hybrid_xfeat_every2_jul18_causal_more_afrl_bus_s320_d20_oldcontract_microburst/frontend_metrics.csv;logs/afrl_cave_v31/external_hybrid_xfeat_every2_jul18_causal_more_afrl_bus_s320_d20_oldcontract_microburst/vins_afrl_cave_external.yaml;logs/afrl_cave_v31/external_hybrid_xfeat_every2_jul18_causal_more_afrl_bus_s320_d20_probe_oldcontract_densecap/afrl_cave_cam0_pinhole.yaml;logs/afrl_cave_v31/external_hybrid_xfeat_every2_jul18_causal_more_afrl_bus_s320_d20_probe_oldcontract_densecap/cave_gennie_short.bag;logs/afrl_cave_v31/external_hybrid_xfeat_every2_jul18_causal_more_afrl_bus_s320_d20_probe_oldcontract_densecap/features.bag;logs/afrl_cave_v31/external_hybrid_xfeat_every2_jul18_causal_more_afrl_bus_s320_d20_probe_oldcontract_densecap/frontend_metrics.csv;logs/afrl_cave_v31/external_hybrid_xfeat_every2_jul18_causal_more_afrl_bus_s320_d20_probe_oldcontract_densecap/replay_manifest.txt;logs/afrl_cave_v31/external_hybrid_xfeat_every2_jul18_causal_more_afrl_bus_s320_d20_probe_oldcontract_densecap/replay_manifest.txt:1;logs/afrl_cave_v31/external_hybrid_xfeat_every2_jul18_causal_more_afrl_bus_s320_d20_probe_oldcontract_densecap/replay_manifest.txt:2;...(+14),Prior artifact or parameter/search reference found before P02 freeze; exclude exact window from confirmatory denominator.
afrl,bus_outside,320,660,second,120,true,true,true,DEVELOPMENT_ONLY,logs/afrl_cave_v31/external_hybrid_xfeat_every2_may28_counterfix_bus320_340_xfeat_export/afrl_cave_cam0_pinhole.yaml;logs/afrl_cave_v31/external_hybrid_xfeat_every2_may28_counterfix_bus320_340_xfeat_export/features.bag;logs/afrl_cave_v31/external_hybrid_xfeat_every2_may28_counterfix_bus320_340_xfeat_export/frontend_metrics.csv;logs/afrl_cave_v31/external_hybrid_xfeat_every2_may28_counterfix_bus320_340_xfeat_export/replay_manifest.txt;logs/afrl_cave_v31/external_hybrid_xfeat_every2_may28_counterfix_bus320_340_xfeat_export/replay_manifest.txt:1;logs/afrl_cave_v31/external_hybrid_xfeat_every2_may28_counterfix_bus320_340_xfeat_export/replay_manifest.txt:2;logs/afrl_cave_v31/external_hybrid_xfeat_every2_may28_counterfix_bus320_340_xfeat_export/replay_manifest.txt:3;logs/afrl_cave_v31/external_hybrid_xfeat_every2_may28_counterfix_bus320_340_xfeat_export/replay_manifest.txt:4;logs/afrl_cave_v31/external_hybrid_xfeat_every2_may28_counterfix_bus320_340_xfeat_export/replay_manifest.txt:5;logs/afrl_cave_v31/external_hybrid_xfeat_every2_may28_counterfix_bus320_340_xfeat_export/replay_manifest.txt:6;logs/afrl_cave_v31/external_hybrid_xfeat_every2_may28_counterfix_bus320_340_xfeat_export/vins_afrl_cave_external.yaml;logs/agent_seven_point_summary.md:1017;...(+108),Prior artifact or parameter/search reference found before P02 freeze; exclude exact window from confirmatory denominator.
afrl,bus_outside,320,670,second,2,false,false,true,DEVELOPMENT_ONLY,logs/agent_seven_point_summary.md:578;logs/may26_afrl_bus_320_350_export_probe_summary.csv,Prior artifact or parameter/search reference found before P02 freeze; exclude exact window from confirmatory denominator.
afrl,cave_gennie,150,170,second,28,true,true,true,DEVELOPMENT_ONLY,logs/afrl_cave_v31/external_hybrid_xfeat_every2_jul18_causal_more_afrl_cave_s150_d20_oldcontract_microburst/afrl_cave_cam0_pinhole.yaml;logs/afrl_cave_v31/external_hybrid_xfeat_every2_jul18_causal_more_afrl_cave_s150_d20_oldcontract_microburst/cave_gennie_short.bag;logs/afrl_cave_v31/external_hybrid_xfeat_every2_jul18_causal_more_afrl_cave_s150_d20_oldcontract_microburst/features.bag;logs/afrl_cave_v31/external_hybrid_xfeat_every2_jul18_causal_more_afrl_cave_s150_d20_oldcontract_microburst/frontend_metrics.csv;logs/afrl_cave_v31/external_hybrid_xfeat_every2_jul18_causal_more_afrl_cave_s150_d20_oldcontract_microburst/vins_afrl_cave_external.yaml;logs/afrl_cave_v31/external_hybrid_xfeat_every2_jul18_causal_more_afrl_cave_s150_d20_probe_oldcontract_densecap/afrl_cave_cam0_pinhole.yaml;logs/afrl_cave_v31/external_hybrid_xfeat_every2_jul18_causal_more_afrl_cave_s150_d20_probe_oldcontract_densecap/cave_gennie_short.bag;logs/afrl_cave_v31/external_hybrid_xfeat_every2_jul18_causal_more_afrl_cave_s150_d20_probe_oldcontract_densecap/features.bag;logs/afrl_cave_v31/external_hybrid_xfeat_every2_jul18_causal_more_afrl_cave_s150_d20_probe_oldcontract_densecap/frontend_metrics.csv;logs/afrl_cave_v31/external_hybrid_xfeat_every2_jul18_causal_more_afrl_cave_s150_d20_probe_oldcontract_densecap/replay_manifest.txt;logs/afrl_cave_v31/external_hybrid_xfeat_every2_jul18_causal_more_afrl_cave_s150_d20_probe_oldcontract_densecap/replay_manifest.txt:1;logs/afrl_cave_v31/external_hybrid_xfeat_every2_jul18_causal_more_afrl_cave_s150_d20_probe_oldcontract_densecap/replay_manifest.txt:2;...(+16),Prior artifact or parameter/search reference found before P02 freeze; exclude exact window from confirmatory denominator.
afrl,cave_gennie,40,100,second,4,false,true,true,DEVELOPMENT_ONLY,logs/afrl_cave_v31/external_klt_every2_may24_cave_40_60_klt_probe/afrl_cave_cam0_pinhole.yaml;logs/afrl_cave_v31/external_klt_every2_may24_cave_40_60_klt_probe/features.bag;logs/afrl_cave_v31/external_klt_every2_may24_cave_40_60_klt_probe/frontend_metrics.csv;logs/afrl_cave_v31/external_klt_every2_may24_cave_40_60_klt_probe/vins_afrl_cave_external.yaml,Prior artifact or parameter/search reference found before P02 freeze; exclude exact window from confirmatory denominator.
afrl,cave_gennie,40,60,second,19,true,true,true,DEVELOPMENT_ONLY,logs/afrl_cave_v31/external_hybrid_xfeat_every2_jul18_causal_more_afrl_cave_s40_d20_oldcontract_microburst/afrl_cave_cam0_pinhole.yaml;logs/afrl_cave_v31/external_hybrid_xfeat_every2_jul18_causal_more_afrl_cave_s40_d20_oldcontract_microburst/cave_gennie_short.bag;logs/afrl_cave_v31/external_hybrid_xfeat_every2_jul18_causal_more_afrl_cave_s40_d20_oldcontract_microburst/features.bag;logs/afrl_cave_v31/external_hybrid_xfeat_every2_jul18_causal_more_afrl_cave_s40_d20_oldcontract_microburst/frontend_metrics.csv;logs/afrl_cave_v31/external_hybrid_xfeat_every2_jul18_causal_more_afrl_cave_s40_d20_oldcontract_microburst/vins_afrl_cave_external.yaml;logs/afrl_cave_v31/external_hybrid_xfeat_every2_jul18_causal_more_afrl_cave_s40_d20_probe_oldcontract_densecap/afrl_cave_cam0_pinhole.yaml;logs/afrl_cave_v31/external_hybrid_xfeat_every2_jul18_causal_more_afrl_cave_s40_d20_probe_oldcontract_densecap/cave_gennie_short.bag;logs/afrl_cave_v31/external_hybrid_xfeat_every2_jul18_causal_more_afrl_cave_s40_d20_probe_oldcontract_densecap/features.bag;logs/afrl_cave_v31/external_hybrid_xfeat_every2_jul18_causal_more_afrl_cave_s40_d20_probe_oldcontract_densecap/frontend_metrics.csv;logs/afrl_cave_v31/external_hybrid_xfeat_every2_jul18_causal_more_afrl_cave_s40_d20_probe_oldcontract_densecap/replay_manifest.txt;logs/afrl_cave_v31/external_hybrid_xfeat_every2_jul18_causal_more_afrl_cave_s40_d20_probe_oldcontract_densecap/replay_manifest.txt:1;logs/afrl_cave_v31/external_hybrid_xfeat_every2_jul18_causal_more_afrl_cave_s40_d20_probe_oldcontract_densecap/replay_manifest.txt:2;...(+7),Prior artifact or parameter/search reference found before P02 freeze; exclude exact window from confirmatory denominator.
afrl,cemetery,0,10,second,114,true,true,true,DEVELOPMENT_ONLY,logs/afrl_cave_v31/external_hybrid_superpoint_lightglue_every2_jun07_v33_afrl_cemetery_s0_d10_scale05_export_loftr_mirror/afrl_cave_cam0_pinhole.yaml;logs/afrl_cave_v31/external_hybrid_superpoint_lightglue_every2_jun07_v33_afrl_cemetery_s0_d10_scale05_export_loftr_mirror/features.bag;logs/afrl_cave_v31/external_hybrid_superpoint_lightglue_every2_jun07_v33_afrl_cemetery_s0_d10_scale05_export_loftr_mirror/frontend_metrics.csv;logs/afrl_cave_v31/external_hybrid_superpoint_lightglue_every2_jun07_v33_afrl_cemetery_s0_d10_scale05_export_loftr_mirror/replay_manifest.txt;logs/afrl_cave_v31/external_hybrid_superpoint_lightglue_every2_jun07_v33_afrl_cemetery_s0_d10_scale05_export_loftr_mirror/replay_manifest.txt:1;logs/afrl_cave_v31/external_hybrid_superpoint_lightglue_every2_jun07_v33_afrl_cemetery_s0_d10_scale05_export_loftr_mirror/replay_manifest.txt:2;logs/afrl_cave_v31/external_hybrid_superpoint_lightglue_every2_jun07_v33_afrl_cemetery_s0_d10_scale05_export_loftr_mirror/replay_manifest.txt:3;logs/afrl_cave_v31/external_hybrid_superpoint_lightglue_every2_jun07_v33_afrl_cemetery_s0_d10_scale05_export_loftr_mirror/replay_manifest.txt:4;logs/afrl_cave_v31/external_hybrid_superpoint_lightglue_every2_jun07_v33_afrl_cemetery_s0_d10_scale05_export_loftr_mirror/replay_manifest.txt:5;logs/afrl_cave_v31/external_hybrid_superpoint_lightglue_every2_jun07_v33_afrl_cemetery_s0_d10_scale05_export_loftr_mirror/replay_manifest.txt:6;logs/afrl_cave_v31/external_hybrid_superpoint_lightglue_every2_jun07_v33_afrl_cemetery_s0_d10_scale05_export_loftr_mirror/vins_afrl_cave_external.yaml;logs/afrl_cave_v31/external_hybrid_superpoint_lightglue_every2_jun07_v33_afrl_cemetery_s0_d10_scale05_export_noloftr_mirror/afrl_cave_cam0_pinhole.yaml;...(+102),Prior artifact or parameter/search reference found before P02 freeze; exclude exact window from confirmatory denominator.
afrl,cemetery,0,20,second,4,true,true,false,DEVELOPMENT_ONLY,logs/afrl_cave_v31/external_hybrid_superpoint_lightglue_every2_jun07_v33_afrl_cemetery_s0_d20_export_loftr_fix/afrl_cave_cam0_pinhole.yaml;logs/afrl_cave_v31/external_hybrid_superpoint_lightglue_every2_jun07_v33_afrl_cemetery_s0_d20_export_loftr_fix/features.bag;logs/afrl_cave_v31/external_hybrid_superpoint_lightglue_every2_jun07_v33_afrl_cemetery_s0_d20_export_loftr_fix/frontend_metrics.csv;logs/afrl_cave_v31/external_hybrid_superpoint_lightglue_every2_jun07_v33_afrl_cemetery_s0_d20_export_loftr_fix/vins_afrl_cave_external.yaml,Prior artifact or parameter/search reference found before P02 freeze; exclude exact window from confirmatory denominator.
afrl,cemetery_fl,080,163,second,2,false,false,true,DEVELOPMENT_ONLY,logs/opt_eval/classical_rescue/smoke_afrl_fl_080_083.csv;logs/opt_eval/final_relax_v4/smoke_continuity_config_afrl_fl_080_083.csv,Prior artifact or parameter/search reference found before P02 freeze; exclude exact window from confirmatory denominator.
afrl,cemetery_fl,080,210,second,12,true,false,true,DEVELOPMENT_ONLY,logs/afrl_v31_frontend/afrl_fl_080_130_full_sp_lg_loftr.csv;logs/afrl_v31_frontend/afrl_fl_080_130_hybrid_sp_lg_loftr.csv;logs/afrl_v31_frontend/afrl_fl_080_130_klt.csv;logs/afrl_v31_frontend/afrl_fl_080_130_klt_adaptive_clahe.csv;logs/afrl_v31_frontend/summary.md:23;logs/afrl_v31_frontend/summary.md:24;logs/agent_qi_reliability/qi_reliability_report.md:17;logs/agent_qi_reliability/qi_reliability_report.md:56;logs/learned_positive_search_multidl/afrl_fl_080_130_loftr_semidense.csv;logs/learned_positive_search_multidl/afrl_fl_080_130_sp_lg_sidecar.csv;logs/learned_positive_search_multidl/afrl_fl_080_130_xfeat_sidecar.csv;logs/learned_positive_search_multidl/afrl_fl_080_130_xfeat_star_semidense.csv,Prior artifact or parameter/search reference found before P02 freeze; exclude exact window from confirmatory denominator.
