window,group,event_frame_zero_based,metric_frame_index,selected_feature_index,timestamp,exported_features,exported_xfeat_features,sidecars_kept,classical_dropped_for_sidecars,bag_reconstructed_missing_klt_observations,exported_xfeat_median_age_raw_frames,exported_xfeat_median_visible_streak_recorded,xfeat_backend_visible_streak_median_derived,victim_backend_visible_age_median_derived,victim_full_lifetime_median_hindsight,xfeat_full_lifetime_median_hindsight,exported_classical_gftt_features_recorded,export_histogram_gftt_count,classical_track_count,learned_export_gate_reason,export_source_histogram
a09_6000_6800,positive,2,5,2,1542889046.271565676,349,1,1,2,2,5.0,nan,1.0,1.0,1.0,3.0,0,94,348,disabled,gftt:94;klt:254;xfeat_confirmed:1
a09_6000_6800,positive,3,7,3,1542889046.371444464,350,1,1,1,1,7.0,nan,2.0,1.0,1.0,3.0,0,101,349,disabled,gftt:101;klt:248;xfeat_confirmed:1
a09_6000_6800,positive,4,9,4,1542889046.471564054,347,1,1,4,4,9.0,nan,3.0,1.0,1.0,3.0,0,102,346,disabled,gftt:102;klt:244;xfeat_confirmed:1
a06_s045_d045,positive,2,5,2,1542883357.072892904,350,1,1,1,1,4.0,nan,1.0,1.0,2.0,3.0,0,76,347,disabled,gftt:76;klt:273;xfeat_confirmed:1
a06_s045_d045,positive,3,7,3,1542883357.172986746,350,5,5,5,5,4.0,nan,1.0,1.0,5.0,2.0,0,72,343,disabled,gftt:72;klt:273;xfeat_confirmed:5
a06_s045_d045,positive,4,9,4,1542883357.273861408,350,6,6,6,6,6.0,nan,2.0,1.0,1.0,2.0,0,69,343,disabled,gftt:69;klt:275;xfeat_confirmed:6
a06_s000_d045,harm_or_mixed,1,3,1,1542883311.929996490,350,12,12,12,12,3.0,nan,1.0,2.0,12.5,3.0,0,5,350,disabled,gftt:5;klt:333;xfeat_confirmed:12
a06_s000_d045,harm_or_mixed,2,5,2,1542883312.030069113,350,29,29,29,29,4.0,nan,1.0,3.0,17.0,1.0,0,15,332,disabled,gftt:15;klt:306;xfeat_confirmed:29
a06_s000_d045,harm_or_mixed,3,7,3,1542883312.130018711,350,9,9,9,9,7.0,nan,3.0,2.0,10.0,3.0,0,7,328,disabled,gftt:7;klt:334;xfeat_confirmed:9
h07_s000_d050,harm_or_mixed,441,883,441,1523387590.292054415,350,11,11,11,11,4.0,nan,1.0,2.0,3.0,2.0,0,28,339,disabled,gftt:28;klt:311;xfeat_confirmed:11
h07_s000_d050,harm_or_mixed,442,885,442,1523387590.391256571,350,8,8,8,8,6.0,nan,2.0,1.5,2.0,5.5,0,17,342,disabled,gftt:17;klt:325;xfeat_confirmed:8
h07_s000_d050,harm_or_mixed,443,887,443,1523387590.492305756,350,5,5,5,5,8.0,nan,3.0,1.0,2.0,6.0,0,22,345,disabled,gftt:22;klt:323;xfeat_confirmed:5
h07_s000_d050,harm_or_mixed,444,889,444,1523387590.592215776,350,5,5,5,5,10.0,nan,4.0,2.0,4.0,6.0,0,23,345,disabled,gftt:23;klt:322;xfeat_confirmed:5
h07_s000_d050,harm_or_mixed,445,891,445,1523387590.692881584,350,14,14,14,14,4.0,nan,1.0,1.5,6.5,2.0,0,23,336,disabled,gftt:23;klt:313;xfeat_confirmed:14
h07_s000_d050,harm_or_mixed,446,893,446,1523387590.793184042,350,7,7,7,7,14.0,nan,6.0,2.0,8.0,6.0,0,15,337,disabled,gftt:15;klt:328;xfeat_confirmed:7
