order,window_id,run_slug,family,sequence,stratum,arm,method,cell_status,expected_feature_messages,feature_messages,frontend_coverage,max_features,frontend_integrity_pass,image_messages,imu_messages,proxy_messages,exported_xfeat_observations,exported_splg_observations,persistence_replaced_gftt_observations,dropped_classical_for_cap_observations,kept_sidecar_observations,churn_guard_decision,churn_guard_decision_frame,feature_bag_path,feature_bag_sha256,frontend_metrics_path,frontend_metrics_sha256,prepared_input_path,prepared_input_sha256,all_three_bags_byte_identical,pairwise_byte_identity,failure_class,notes
1,afrl:bus_outside:0004,afrl_bus_s180_d045,afrl,bus_outside,challenge_gt_0p10,klt,klt,PASS,282,282,1.000000000,350,true,0,4501,564,0,0,0,0,0,-1,-1,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_same_backend_confirmatory_v3/shadow_root/logs/afrl_cave_v31/external_klt_every2_fsbccv3_afrl_bus_s180_d045_klt/features.bag,9e4d546cb799f516d933944e9715d1551affe381ab2f0171876cebb95d01ae84,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_same_backend_confirmatory_v3/shadow_root/logs/afrl_cave_v31/external_klt_every2_fsbccv3_afrl_bus_s180_d045_klt/frontend_metrics.csv,6fd5b8075eb53c3766b40495f31297787abebb6859c7815141cec47aa041b7de,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_same_backend_confirmatory_v3/prepared/afrl_bus_s180_d045/input.bag,fa24e8d2b31e4242f572e068a0139ee61e6e201dca0bbb2a5b3089a1f714729d,false,,,
1,afrl:bus_outside:0004,afrl_bus_s180_d045,afrl,bus_outside,challenge_gt_0p10,splg,hybrid_superpoint_lightglue,PASS,282,282,1.000000000,350,true,0,4501,564,0,7,0,0,0,-1,-1,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_same_backend_confirmatory_v3/shadow_root/logs/afrl_cave_v31/external_hybrid_superpoint_lightglue_every2_fsbccv3_afrl_bus_s180_d045_splg/features.bag,d3dd4a6814e63c19ab970506facc83a20d4799ba443ce698c67bdb5efdfff5ab,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_same_backend_confirmatory_v3/shadow_root/logs/afrl_cave_v31/external_hybrid_superpoint_lightglue_every2_fsbccv3_afrl_bus_s180_d045_splg/frontend_metrics.csv,7ae1cce977875e4e4515202b4f5f8a63cfe319f1da8d13f1eeebb94c2c12328c,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_same_backend_confirmatory_v3/prepared/afrl_bus_s180_d045/input.bag,fa24e8d2b31e4242f572e068a0139ee61e6e201dca0bbb2a5b3089a1f714729d,false,,,
1,afrl:bus_outside:0004,afrl_bus_s180_d045,afrl,bus_outside,challenge_gt_0p10,xfeat_v3,hybrid_xfeat,PASS,282,282,1.000000000,350,true,0,4501,564,2,0,2,2,2,1,2,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_same_backend_confirmatory_v3/shadow_root/logs/afrl_cave_v31/external_hybrid_xfeat_every2_fsbccv3_afrl_bus_s180_d045_xfeat_v3/features.bag,3bce6af63a306f30ee3701d3b1bcb7c942d6199fa36bcf8d326d454971f042b9,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_same_backend_confirmatory_v3/shadow_root/logs/afrl_cave_v31/external_hybrid_xfeat_every2_fsbccv3_afrl_bus_s180_d045_xfeat_v3/frontend_metrics.csv,06b8c5500510646d33d38b2fdafd7c45da8a0b8e9372532d84f5219de1ff7178,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_same_backend_confirmatory_v3/prepared/afrl_bus_s180_d045/input.bag,fa24e8d2b31e4242f572e068a0139ee61e6e201dca0bbb2a5b3089a1f714729d,false,,,
2,afrl:cemetery:0003,afrl_cemetery_s135_d045,afrl,cemetery,challenge_gt_0p10,klt,klt,PASS,357,357,1.000000000,350,true,0,4500,704,0,0,0,0,0,-1,-1,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_same_backend_confirmatory_v3/shadow_root/logs/afrl_cave_v31/external_klt_every2_fsbccv3_afrl_cemetery_s135_d045_klt/features.bag,c144ba971b2d7fc1b73980f9d1336d508f823db26f448f803df747536688169e,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_same_backend_confirmatory_v3/shadow_root/logs/afrl_cave_v31/external_klt_every2_fsbccv3_afrl_cemetery_s135_d045_klt/frontend_metrics.csv,e7626d9f531d862396a6ce908415c67d17dfd80ccad615362beddd72c2dfafbc,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_same_backend_confirmatory_v3/prepared/afrl_cemetery_s135_d045/input.bag,7ab621a9e7937bd99965e23c5686f4aa2095e2460f4ff03b8c7de0289c1a3bea,false,klt=xfeat_v3,,
2,afrl:cemetery:0003,afrl_cemetery_s135_d045,afrl,cemetery,challenge_gt_0p10,splg,hybrid_superpoint_lightglue,PASS,357,357,1.000000000,350,true,0,4500,704,0,50,0,0,0,-1,-1,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_same_backend_confirmatory_v3/shadow_root/logs/afrl_cave_v31/external_hybrid_superpoint_lightglue_every2_fsbccv3_afrl_cemetery_s135_d045_splg/features.bag,a57d498bbe8d5fa845cb0444aef7dc73a4cb08e3b6cc149a81862550479583dd,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_same_backend_confirmatory_v3/shadow_root/logs/afrl_cave_v31/external_hybrid_superpoint_lightglue_every2_fsbccv3_afrl_cemetery_s135_d045_splg/frontend_metrics.csv,6cfca9a396e80a2dc58923f67ce227e0ef543c75e042955b03559fdb4fe88bff,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_same_backend_confirmatory_v3/prepared/afrl_cemetery_s135_d045/input.bag,7ab621a9e7937bd99965e23c5686f4aa2095e2460f4ff03b8c7de0289c1a3bea,false,klt=xfeat_v3,,
2,afrl:cemetery:0003,afrl_cemetery_s135_d045,afrl,cemetery,challenge_gt_0p10,xfeat_v3,hybrid_xfeat,PASS,357,357,1.000000000,350,true,0,4500,704,0,0,0,0,0,-1,-1,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_same_backend_confirmatory_v3/shadow_root/logs/afrl_cave_v31/external_hybrid_xfeat_every2_fsbccv3_afrl_cemetery_s135_d045_xfeat_v3/features.bag,c144ba971b2d7fc1b73980f9d1336d508f823db26f448f803df747536688169e,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_same_backend_confirmatory_v3/shadow_root/logs/afrl_cave_v31/external_hybrid_xfeat_every2_fsbccv3_afrl_cemetery_s135_d045_xfeat_v3/frontend_metrics.csv,c948ff82ce3f6111d3b83420a7a6944f0030be4fdd0125feb9185dee32178c3d,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_same_backend_confirmatory_v3/prepared/afrl_cemetery_s135_d045/input.bag,7ab621a9e7937bd99965e23c5686f4aa2095e2460f4ff03b8c7de0289c1a3bea,false,klt=xfeat_v3,,
3,aqualoc_archaeology:A01:0002,a01_1800_2700,aqualoc_archaeology,A01,challenge_gt_0p10,klt,klt,PASS,450,450,1.000000000,350,true,0,9092,46,0,0,0,0,0,-1,-1,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_same_backend_confirmatory_v3/shadow_root/logs/aqualoc_archaeo_vins/external_klt_every2_fsbccv3_a01_1800_2700_klt/features.bag,b64c850a4d6dd4e80ade2ec5e24df229062e4bb94c9fda9fabfb11673a940de2,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_same_backend_confirmatory_v3/shadow_root/logs/aqualoc_archaeo_vins/external_klt_every2_fsbccv3_a01_1800_2700_klt/frontend_metrics.csv,d74a23a6c7e156848709dc689d4541be037f46f0bbfcd6b0d2e381fa40bcb2a4,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_same_backend_confirmatory_v3/prepared/a01_1800_2700/input.bag,17a15765ac0726d258026be06df3ce45293cabc9f83f34cd692f78b10a1fa4eb,true,klt=splg|klt=xfeat_v3|splg=xfeat_v3,,
3,aqualoc_archaeology:A01:0002,a01_1800_2700,aqualoc_archaeology,A01,challenge_gt_0p10,splg,hybrid_superpoint_lightglue,PASS,450,450,1.000000000,350,true,0,9092,46,0,0,0,0,0,-1,-1,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_same_backend_confirmatory_v3/shadow_root/logs/aqualoc_archaeo_vins/external_hybrid_superpoint_lightglue_every2_fsbccv3_a01_1800_2700_splg/features.bag,b64c850a4d6dd4e80ade2ec5e24df229062e4bb94c9fda9fabfb11673a940de2,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_same_backend_confirmatory_v3/shadow_root/logs/aqualoc_archaeo_vins/external_hybrid_superpoint_lightglue_every2_fsbccv3_a01_1800_2700_splg/frontend_metrics.csv,0a80a3fad6109c92bbc090259667f623829c73ac7bc14e026b74faf9698a6cee,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_same_backend_confirmatory_v3/prepared/a01_1800_2700/input.bag,17a15765ac0726d258026be06df3ce45293cabc9f83f34cd692f78b10a1fa4eb,true,klt=splg|klt=xfeat_v3|splg=xfeat_v3,,
3,aqualoc_archaeology:A01:0002,a01_1800_2700,aqualoc_archaeology,A01,challenge_gt_0p10,xfeat_v3,hybrid_xfeat,PASS,450,450,1.000000000,350,true,0,9092,46,0,0,0,0,0,-1,-1,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_same_backend_confirmatory_v3/shadow_root/logs/aqualoc_archaeo_vins/external_hybrid_xfeat_every2_fsbccv3_a01_1800_2700_xfeat_v3/features.bag,b64c850a4d6dd4e80ade2ec5e24df229062e4bb94c9fda9fabfb11673a940de2,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_same_backend_confirmatory_v3/shadow_root/logs/aqualoc_archaeo_vins/external_hybrid_xfeat_every2_fsbccv3_a01_1800_2700_xfeat_v3/frontend_metrics.csv,66e5c582f6adb28435873964335486d069e213e578e378692a2182e6110aec57,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_same_backend_confirmatory_v3/prepared/a01_1800_2700/input.bag,17a15765ac0726d258026be06df3ce45293cabc9f83f34cd692f78b10a1fa4eb,true,klt=splg|klt=xfeat_v3|splg=xfeat_v3,,
4,aqualoc_archaeology:A02:0000,a02_0_900,aqualoc_archaeology,A02,challenge_gt_0p10,klt,klt,PASS,450,450,1.000000000,350,true,0,9046,46,0,0,0,0,0,-1,-1,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_same_backend_confirmatory_v3/shadow_root/logs/aqualoc_archaeo_vins/external_klt_every2_fsbccv3_a02_0_900_klt/features.bag,5ebe451810a735ee37b40f244aca0162e37e398e2f5de13d76222d3d1e616520,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_same_backend_confirmatory_v3/shadow_root/logs/aqualoc_archaeo_vins/external_klt_every2_fsbccv3_a02_0_900_klt/frontend_metrics.csv,89fa6ed6cde1e1f39d22e468e0acd691c42d244635cd78c2f1306b55a428715d,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_same_backend_confirmatory_v3/prepared/a02_0_900/input.bag,ab0fa69eddce3bde6cb03efecf3c4fcafdd3d66e53691b9a2eaa1f531ee660db,false,klt=xfeat_v3,,
