dataset_family,data_domain,sequence,role,eligibility,duration_s,window_duration_s,gross_nonoverlap_windows,history_overlap_windows,available_candidate_windows,max_per_sequence_cap,reference_rate_hz,low_normal_sequence_capacity_status,decision_reason
aqualoc_archaeology,AQUALOC archaeology,A01,SEQUENCE_HELD_OUT_WINDOW_CANDIDATE,ELIGIBLE_WITH_REFERENCE_CAVEAT,879,45.0,19,10,9,4,1,CAPACITY_CANDIDATE,P06 must still run frozen KLT-only screening; this row proves only metadata/time capacity.
aqualoc_archaeology,AQUALOC archaeology,A02,SEQUENCE_HELD_OUT_WINDOW_CANDIDATE,ELIGIBLE_WITH_REFERENCE_CAVEAT,449,45.0,9,6,3,3,1,CAPACITY_CANDIDATE,P06 must still run frozen KLT-only screening; this row proves only metadata/time capacity.
aqualoc_archaeology,AQUALOC archaeology,A03,SEQUENCE_HELD_OUT_WINDOW_CANDIDATE,ELIGIBLE_WITH_REFERENCE_CAVEAT,316,45.0,7,5,2,2,1,CAPACITY_CANDIDATE,P06 must still run frozen KLT-only screening; this row proves only metadata/time capacity.
aqualoc_archaeology,AQUALOC archaeology,A04,SEQUENCE_HELD_OUT_WINDOW_CANDIDATE,ELIGIBLE_WITH_REFERENCE_CAVEAT,669,45.0,14,6,8,4,1,CAPACITY_CANDIDATE,P06 must still run frozen KLT-only screening; this row proves only metadata/time capacity.
aqualoc_archaeology,AQUALOC archaeology,A05,SEQUENCE_HELD_OUT_WINDOW_CANDIDATE,ELIGIBLE_WITH_REFERENCE_CAVEAT,182,45.0,4,4,0,0,1,NO_CAPACITY,P06 must still run frozen KLT-only screening; this row proves only metadata/time capacity.
aqualoc_archaeology,AQUALOC archaeology,A06,SEQUENCE_HELD_OUT_WINDOW_CANDIDATE,ELIGIBLE_WITH_REFERENCE_CAVEAT,169,45.0,3,3,0,0,1,NO_CAPACITY,P06 must still run frozen KLT-only screening; this row proves only metadata/time capacity.
aqualoc_archaeology,AQUALOC archaeology,A07,SEQUENCE_HELD_OUT_WINDOW_CANDIDATE,ELIGIBLE_WITH_REFERENCE_CAVEAT,568,45.0,12,9,3,3,1,CAPACITY_CANDIDATE,P06 must still run frozen KLT-only screening; this row proves only metadata/time capacity.
aqualoc_archaeology,AQUALOC archaeology,A08,SEQUENCE_HELD_OUT_WINDOW_CANDIDATE,ELIGIBLE_WITH_REFERENCE_CAVEAT,469,45.0,10,8,2,2,1,CAPACITY_CANDIDATE,P06 must still run frozen KLT-only screening; this row proves only metadata/time capacity.
aqualoc_archaeology,AQUALOC archaeology,A09,SEQUENCE_HELD_OUT_WINDOW_CANDIDATE,ELIGIBLE_WITH_REFERENCE_CAVEAT,349,45.0,7,5,2,2,1,CAPACITY_CANDIDATE,P06 must still run frozen KLT-only screening; this row proves only metadata/time capacity.
aqualoc_archaeology,AQUALOC archaeology,A10,SEQUENCE_HELD_OUT_WINDOW_CANDIDATE,ELIGIBLE_WITH_REFERENCE_CAVEAT,714,45.0,15,9,6,4,1,CAPACITY_CANDIDATE,P06 must still run frozen KLT-only screening; this row proves only metadata/time capacity.
aqualoc_harbor,AQUALOC harbor,H01,SEQUENCE_HELD_OUT_WINDOW_CANDIDATE,ELIGIBLE_WITH_REFERENCE_CAVEAT,229.25,45.0,5,4,1,1,4,CAPACITY_CANDIDATE,P06 must still run frozen KLT-only screening; this row proves only metadata/time capacity.
aqualoc_harbor,AQUALOC harbor,H02,SEQUENCE_HELD_OUT_WINDOW_CANDIDATE,ELIGIBLE_WITH_REFERENCE_CAVEAT,407,45.0,9,4,5,4,4,CAPACITY_CANDIDATE,P06 must still run frozen KLT-only screening; this row proves only metadata/time capacity.
aqualoc_harbor,AQUALOC harbor,H03,SEQUENCE_HELD_OUT_WINDOW_CANDIDATE,ELIGIBLE_WITH_REFERENCE_CAVEAT,257.5,45.0,5,0,5,4,4,CAPACITY_CANDIDATE,P06 must still run frozen KLT-only screening; this row proves only metadata/time capacity.
aqualoc_harbor,AQUALOC harbor,H04,SEQUENCE_HELD_OUT_WINDOW_CANDIDATE,ELIGIBLE_WITH_REFERENCE_CAVEAT,206,45.0,4,3,1,1,4,CAPACITY_CANDIDATE,P06 must still run frozen KLT-only screening; this row proves only metadata/time capacity.
aqualoc_harbor,AQUALOC harbor,H05,SEQUENCE_HELD_OUT_WINDOW_CANDIDATE,ELIGIBLE_WITH_REFERENCE_CAVEAT,172.75,45.0,3,2,1,1,4,CAPACITY_CANDIDATE,P06 must still run frozen KLT-only screening; this row proves only metadata/time capacity.
aqualoc_harbor,AQUALOC harbor,H06,SEQUENCE_HELD_OUT_WINDOW_CANDIDATE,ELIGIBLE_WITH_REFERENCE_CAVEAT,126.75,45.0,2,0,2,2,4,CAPACITY_CANDIDATE,P06 must still run frozen KLT-only screening; this row proves only metadata/time capacity.
aqualoc_harbor,AQUALOC harbor,H07,SEQUENCE_HELD_OUT_WINDOW_CANDIDATE,ELIGIBLE_WITH_REFERENCE_CAVEAT,113,45.0,2,2,0,0,4,NO_CAPACITY,P06 must still run frozen KLT-only screening; this row proves only metadata/time capacity.
ntnu,NTNU underwater VI,fjord_1,SEQUENCE_HELD_OUT_WINDOW_CANDIDATE,ELIGIBLE_WITH_REFERENCE_CAVEAT,312,45.0,6,6,0,0,50,NO_CAPACITY,P06 must still run frozen KLT-only screening; this row proves only metadata/time capacity.
ntnu,NTNU underwater VI,fjord_2,SEQUENCE_HELD_OUT_WINDOW_CANDIDATE,ELIGIBLE_WITH_REFERENCE_CAVEAT,499,45.0,11,11,0,0,50,NO_CAPACITY,P06 must still run frozen KLT-only screening; this row proves only metadata/time capacity.
ntnu,NTNU underwater VI,fjord_3,SEQUENCE_HELD_OUT_WINDOW_CANDIDATE,ELIGIBLE_WITH_REFERENCE_CAVEAT,272,45.0,6,6,0,0,50,NO_CAPACITY,P06 must still run frozen KLT-only screening; this row proves only metadata/time capacity.
ntnu,NTNU underwater VI,fjord_4,SEQUENCE_HELD_OUT_WINDOW_CANDIDATE,ELIGIBLE_WITH_REFERENCE_CAVEAT,411,45.0,9,9,0,0,50,NO_CAPACITY,P06 must still run frozen KLT-only screening; this row proves only metadata/time capacity.
ntnu,NTNU underwater VI,fjord_5,SEQUENCE_HELD_OUT_WINDOW_CANDIDATE,ELIGIBLE_WITH_REFERENCE_CAVEAT,440,45.0,9,9,0,0,50,NO_CAPACITY,P06 must still run frozen KLT-only screening; this row proves only metadata/time capacity.
ntnu,NTNU underwater VI,fjord_6,SEQUENCE_HELD_OUT_WINDOW_CANDIDATE,ELIGIBLE_WITH_REFERENCE_CAVEAT,638,45.0,14,1,13,4,50,CAPACITY_CANDIDATE,P06 must still run frozen KLT-only screening; this row proves only metadata/time capacity.
ntnu,NTNU underwater VI,mclab_1,SEQUENCE_HELD_OUT_WINDOW_CANDIDATE,ELIGIBLE_WITH_REFERENCE_CAVEAT,390,45.0,8,8,0,0,50,NO_CAPACITY,P06 must still run frozen KLT-only screening; this row proves only metadata/time capacity.
ntnu,NTNU underwater VI,mclab_2,SEQUENCE_HELD_OUT_WINDOW_CANDIDATE,ELIGIBLE_WITH_REFERENCE_CAVEAT,304,45.0,6,6,0,0,50,NO_CAPACITY,P06 must still run frozen KLT-only screening; this row proves only metadata/time capacity.
afrl,AFRL stereo VI,cave_gennie,SEQUENCE_HELD_OUT_WINDOW_CANDIDATE,ELIGIBLE_WITH_REFERENCE_CAVEAT,709.601295,45.0,15,4,11,4,5,CAPACITY_CANDIDATE,P06 must still run frozen KLT-only screening; this row proves only metadata/time capacity.
afrl,AFRL stereo VI,bus_outside,SEQUENCE_HELD_OUT_WINDOW_CANDIDATE,ELIGIBLE_WITH_REFERENCE_CAVEAT,584.88264,45.0,12,5,7,4,5,CAPACITY_CANDIDATE,P06 must still run frozen KLT-only screening; this row proves only metadata/time capacity.
afrl,AFRL stereo VI,cemetery,SEQUENCE_HELD_OUT_WINDOW_CANDIDATE,ELIGIBLE_WITH_REFERENCE_CAVEAT,434.82,45.0,9,1,8,4,5,CAPACITY_CANDIDATE,P06 must still run frozen KLT-only screening; this row proves only metadata/time capacity.
tank,Tank sample,short_test,FRONTEND_RUNTIME_ONLY,NOT_ELIGIBLE_PRIMARY_APE,15,45.0,0,0,0,0,,NOT_PRIMARY_ELIGIBLE,Sequence lacks the primary trajectory-reference contract and cannot contribute to the confirmatory APE matrix.
uma_vi,UMA-VI sample,sample,FRONTEND_RUNTIME_ONLY,NOT_ELIGIBLE_PRIMARY_APE,80,45.0,1,0,0,0,,NOT_PRIMARY_ELIGIBLE,Sequence lacks the primary trajectory-reference contract and cannot contribute to the confirmatory APE matrix.
uvvid,UVVID visual-inertial,orientkaj_run1,FRONTEND_RUNTIME_ONLY,NOT_ELIGIBLE_PRIMARY_APE,120,45.0,2,0,0,0,,NOT_PRIMARY_ELIGIBLE,Sequence lacks the primary trajectory-reference contract and cannot contribute to the confirmatory APE matrix.
cirs,CIRS Girona,cala_viuda,FRONTEND_RUNTIME_ONLY,NOT_ELIGIBLE_PRIMARY_APE,120,45.0,2,0,0,0,,NOT_PRIMARY_ELIGIBLE,Sequence lacks the primary trajectory-reference contract and cannot contribute to the confirmatory APE matrix.
