schema_version,queue_index,assignment_rank,arm_order_position,window_id,dataset_family,data_domain,sequence,texture_stratum,selection_tier,arm,tag,command,command_sha256,expected_run_root,expected_feature_bag,feature_bag_resolution,dependency,status,outcome_boundary
isj-p07-frontend-export-queue-v1,1,1,2,aqualoc_archaeology:A02:0005,aqualoc_archaeology,AQUALOC archaeology,A02,low,RELATIVE_Q80_FALLBACK,B1_klt_nativeq_v3,isj_p07_aqualoc_archaeology_a02_0005_b1_attempt01,RUN_VINS=0 FORCE_EXPORT=1 TAG=isj_p07_aqualoc_archaeology_a02_0005_b1_attempt01 bash scripts/run_isj_b1_klt_nativeq_guarded_v1.sh aqualoc_archaeology A02 4500 5400 2,05a6dda2ea0387117850a5be805c73d29f24bed140a784efd9885bf11261520f,logs/aqualoc_archaeo_vins,logs/aqualoc_archaeo_vins/external_klt_every2_isj_p07_aqualoc_archaeology_a02_0005_b1_attempt01/features.bag,EXACT_PATH,NONE,PLANNED,FRONTEND_EXPORT_ONLY_NO_VINS_APE_RPE_TRAJECTORY
isj-p07-frontend-export-queue-v1,2,1,3,aqualoc_archaeology:A02:0005,aqualoc_archaeology,AQUALOC archaeology,A02,low,RELATIVE_Q80_FALLBACK,M_xfeat_pairwise_nativeq_v1,isj_p07_aqualoc_archaeology_a02_0005_m_attempt01,RUN_VINS=0 FORCE_EXPORT=1 TAG=isj_p07_aqualoc_archaeology_a02_0005_m_attempt01 bash scripts/run_p05_modern_xfeat_baseline_guarded_v2.sh aqualoc_archaeology 2 4500 5400 2,220c562dae36831d6cedd8272d7ad61c1dcb58928acdee0be453272780a5c1cc,logs/aqualoc_archaeo_vins,logs/aqualoc_archaeo_vins/external_xfeat_every2_isj_p07_aqualoc_archaeology_a02_0005_m_attempt01/features.bag,EXACT_PATH,NONE,PLANNED,FRONTEND_EXPORT_ONLY_NO_VINS_APE_RPE_TRAJECTORY
isj-p07-frontend-export-queue-v1,3,1,4,aqualoc_archaeology:A02:0005,aqualoc_archaeology,AQUALOC archaeology,A02,low,RELATIVE_Q80_FALLBACK,P_legacy_nativeq_xfeat_seedchain_v3,isj_p07_aqualoc_archaeology_a02_0005_p_attempt01,RUN_VINS=0 FORCE_EXPORT=1 TAG_BASE=isj_p07_aqualoc_archaeology_a02_0005_p_attempt01 bash scripts/run_isj_nativeq_contract_guarded_v4.sh aqualoc_archaeo 2 4500 5400 hybrid_xfeat 2,130dd140bd3c56ae59cb89beb315e7d74ba29544c09a937624801ff9ea03c034,logs/aqualoc_archaeo_vins,,READ_FINAL_RUN_FROM_ARBITRATION_SUMMARY_UNDER_TAG_BASE,NONE,PLANNED,FRONTEND_EXPORT_ONLY_NO_VINS_APE_RPE_TRAJECTORY
isj-p07-frontend-export-queue-v1,4,2,1,aqualoc_archaeology:A01:0018,aqualoc_archaeology,AQUALOC archaeology,A01,low,RELATIVE_Q80_FALLBACK,B1_klt_nativeq_v3,isj_p07_aqualoc_archaeology_a01_0018_b1_attempt01,RUN_VINS=0 FORCE_EXPORT=1 TAG=isj_p07_aqualoc_archaeology_a01_0018_b1_attempt01 bash scripts/run_isj_b1_klt_nativeq_guarded_v1.sh aqualoc_archaeology A01 16200 17100 2,5b5c191fd030dc78332bbbfc7c944abcf74c7fcbdadd8552e2f20153542a7f9c,logs/aqualoc_archaeo_vins,logs/aqualoc_archaeo_vins/external_klt_every2_isj_p07_aqualoc_archaeology_a01_0018_b1_attempt01/features.bag,EXACT_PATH,NONE,PLANNED,FRONTEND_EXPORT_ONLY_NO_VINS_APE_RPE_TRAJECTORY
isj-p07-frontend-export-queue-v1,5,2,2,aqualoc_archaeology:A01:0018,aqualoc_archaeology,AQUALOC archaeology,A01,low,RELATIVE_Q80_FALLBACK,P_legacy_nativeq_xfeat_seedchain_v3,isj_p07_aqualoc_archaeology_a01_0018_p_attempt01,RUN_VINS=0 FORCE_EXPORT=1 TAG_BASE=isj_p07_aqualoc_archaeology_a01_0018_p_attempt01 bash scripts/run_isj_nativeq_contract_guarded_v4.sh aqualoc_archaeo 1 16200 17100 hybrid_xfeat 2,64139dac1e29bbb3b4a0602419d30d4d991f485b48519069e325beb8d03982ae,logs/aqualoc_archaeo_vins,,READ_FINAL_RUN_FROM_ARBITRATION_SUMMARY_UNDER_TAG_BASE,NONE,PLANNED,FRONTEND_EXPORT_ONLY_NO_VINS_APE_RPE_TRAJECTORY
isj-p07-frontend-export-queue-v1,6,2,4,aqualoc_archaeology:A01:0018,aqualoc_archaeology,AQUALOC archaeology,A01,low,RELATIVE_Q80_FALLBACK,M_xfeat_pairwise_nativeq_v1,isj_p07_aqualoc_archaeology_a01_0018_m_attempt01,RUN_VINS=0 FORCE_EXPORT=1 TAG=isj_p07_aqualoc_archaeology_a01_0018_m_attempt01 bash scripts/run_p05_modern_xfeat_baseline_guarded_v2.sh aqualoc_archaeology 1 16200 17100 2,fb6209732dcbf7c0201759d0bc854fd1a5607458cd69fe3a7de98457d9f20fa1,logs/aqualoc_archaeo_vins,logs/aqualoc_archaeo_vins/external_xfeat_every2_isj_p07_aqualoc_archaeology_a01_0018_m_attempt01/features.bag,EXACT_PATH,NONE,PLANNED,FRONTEND_EXPORT_ONLY_NO_VINS_APE_RPE_TRAJECTORY
isj-p07-frontend-export-queue-v1,7,3,1,aqualoc_harbor:H05:0002,aqualoc_harbor,AQUALOC harbor,H05,normal,STRICT_NORMAL,P_legacy_nativeq_xfeat_seedchain_v3,isj_p07_aqualoc_harbor_h05_0002_p_attempt01,RUN_VINS=0 FORCE_EXPORT=1 TAG_BASE=isj_p07_aqualoc_harbor_h05_0002_p_attempt01 bash scripts/run_isj_nativeq_contract_guarded_v4.sh aqualoc_real H05 1800 2700 hybrid_xfeat 2,707e34d23ad2e91313dced2783cc072477cf4c343744642d8d4e2b0845cf57ff,logs/aqualoc_real_vins,,READ_FINAL_RUN_FROM_ARBITRATION_SUMMARY_UNDER_TAG_BASE,NONE,PLANNED,FRONTEND_EXPORT_ONLY_NO_VINS_APE_RPE_TRAJECTORY
isj-p07-frontend-export-queue-v1,8,3,2,aqualoc_harbor:H05:0002,aqualoc_harbor,AQUALOC harbor,H05,normal,STRICT_NORMAL,M_xfeat_pairwise_nativeq_v1,isj_p07_aqualoc_harbor_h05_0002_m_attempt01,RUN_VINS=0 FORCE_EXPORT=1 TAG=isj_p07_aqualoc_harbor_h05_0002_m_attempt01 bash scripts/run_p05_modern_xfeat_baseline_guarded_v2.sh aqualoc_harbor H05 1800 2700 2,d762bad3a54cb47f220afdc1b7103f1486fbaeb339973c889f0d915dd7a0cabe,logs/aqualoc_real_vins,logs/aqualoc_real_vins/external_xfeat_every2_isj_p07_aqualoc_harbor_h05_0002_m_attempt01/features.bag,EXACT_PATH,NONE,PLANNED,FRONTEND_EXPORT_ONLY_NO_VINS_APE_RPE_TRAJECTORY
isj-p07-frontend-export-queue-v1,9,3,3,aqualoc_harbor:H05:0002,aqualoc_harbor,AQUALOC harbor,H05,normal,STRICT_NORMAL,B1_klt_nativeq_v3,isj_p07_aqualoc_harbor_h05_0002_b1_attempt01,RUN_VINS=0 FORCE_EXPORT=1 TAG=isj_p07_aqualoc_harbor_h05_0002_b1_attempt01 bash scripts/run_isj_b1_klt_nativeq_guarded_v1.sh aqualoc_harbor H05 1800 2700 2,cf462163745fb5aeb02e86ac85b393ef7d262b807148e094f332123ef1c26b59,logs/aqualoc_real_vins,logs/aqualoc_real_vins/external_klt_every2_isj_p07_aqualoc_harbor_h05_0002_b1_attempt01/features.bag,EXACT_PATH,NONE,PLANNED,FRONTEND_EXPORT_ONLY_NO_VINS_APE_RPE_TRAJECTORY
isj-p07-frontend-export-queue-v1,10,4,1,ntnu:fjord_6:0001,ntnu,NTNU underwater VI,fjord_6,normal,STRICT_NORMAL,M_xfeat_pairwise_nativeq_v1,isj_p07_ntnu_fjord_6_0001_m_attempt01,RUN_VINS=0 FORCE_EXPORT=1 TAG=isj_p07_ntnu_fjord_6_0001_m_attempt01 bash scripts/run_p05_modern_xfeat_baseline_guarded_v2.sh ntnu fjord_6 45 45 2,d0c0a97c6de04385927eeab28d682b41fbe84a0d82b97e7e48b2def5c044889c,logs/ntnu_vins,logs/ntnu_vins/external_xfeat_every2_isj_p07_ntnu_fjord_6_0001_m_attempt01/features.bag,EXACT_PATH,NONE,PLANNED,FRONTEND_EXPORT_ONLY_NO_VINS_APE_RPE_TRAJECTORY
