schema_version,window_id,dataset_family,data_domain,sequence,window_start_s,window_end_s,texture_stratum,selection_tier,manifest_split_role,sequence_history_rows,prior_learned_seen,prior_vins_seen,prior_parameter_use,selected_interval_overlaps_history,corrected_split_role,external_held_out,reporting_claim
isj-p07-split-role-audit-v1,afrl:bus_outside:0001,afrl,AFRL stereo VI,bus_outside,45.0,90.0,low,ABSOLUTE_LOW,SEQUENCE_HELD_OUT_CONFIRMATORY_AFTER_OUTCOME_BLIND_REPAIRS,3,true,true,true,false,HISTORY_EXCLUDED_WINDOW_WITHIN_DEVELOPMENT_EXPOSED_SEQUENCE,false,outcome_blind_exact_history_excluded_window
isj-p07-split-role-audit-v1,aqualoc_archaeology:A01:0003,aqualoc_archaeology,AQUALOC archaeology,A01,135.0,180.0,low,RELATIVE_Q80_FALLBACK,SEQUENCE_HELD_OUT_CONFIRMATORY_AFTER_OUTCOME_BLIND_REPAIRS,16,true,true,true,false,HISTORY_EXCLUDED_WINDOW_WITHIN_DEVELOPMENT_EXPOSED_SEQUENCE,false,outcome_blind_exact_history_excluded_window
isj-p07-split-role-audit-v1,aqualoc_archaeology:A01:0018,aqualoc_archaeology,AQUALOC archaeology,A01,810.0,855.0,low,RELATIVE_Q80_FALLBACK,SEQUENCE_HELD_OUT_CONFIRMATORY_AFTER_OUTCOME_BLIND_REPAIRS,16,true,true,true,false,HISTORY_EXCLUDED_WINDOW_WITHIN_DEVELOPMENT_EXPOSED_SEQUENCE,false,outcome_blind_exact_history_excluded_window
isj-p07-split-role-audit-v1,aqualoc_archaeology:A02:0005,aqualoc_archaeology,AQUALOC archaeology,A02,225.0,270.0,low,RELATIVE_Q80_FALLBACK,SEQUENCE_HELD_OUT_CONFIRMATORY_AFTER_OUTCOME_BLIND_REPAIRS,16,true,true,true,false,HISTORY_EXCLUDED_WINDOW_WITHIN_DEVELOPMENT_EXPOSED_SEQUENCE,false,outcome_blind_exact_history_excluded_window
isj-p07-split-role-audit-v1,aqualoc_archaeology:A03:0001,aqualoc_archaeology,AQUALOC archaeology,A03,45.0,90.0,low,RELATIVE_Q80_FALLBACK,SEQUENCE_HELD_OUT_CONFIRMATORY_AFTER_OUTCOME_BLIND_REPAIRS,12,true,true,true,false,HISTORY_EXCLUDED_WINDOW_WITHIN_DEVELOPMENT_EXPOSED_SEQUENCE,false,outcome_blind_exact_history_excluded_window
isj-p07-split-role-audit-v1,aqualoc_archaeology:A04:0002,aqualoc_archaeology,AQUALOC archaeology,A04,90.0,135.0,normal,STRICT_NORMAL,SEQUENCE_HELD_OUT_CONFIRMATORY_AFTER_OUTCOME_BLIND_REPAIRS,17,true,true,true,false,HISTORY_EXCLUDED_WINDOW_WITHIN_DEVELOPMENT_EXPOSED_SEQUENCE,false,outcome_blind_exact_history_excluded_window
isj-p07-split-role-audit-v1,aqualoc_archaeology:A07:0001,aqualoc_archaeology,AQUALOC archaeology,A07,45.0,90.0,normal,STRICT_NORMAL,SEQUENCE_HELD_OUT_CONFIRMATORY_AFTER_OUTCOME_BLIND_REPAIRS,13,true,true,true,false,HISTORY_EXCLUDED_WINDOW_WITHIN_DEVELOPMENT_EXPOSED_SEQUENCE,false,outcome_blind_exact_history_excluded_window
isj-p07-split-role-audit-v1,aqualoc_archaeology:A07:0002,aqualoc_archaeology,AQUALOC archaeology,A07,90.0,135.0,low,RELATIVE_Q80_FALLBACK,SEQUENCE_HELD_OUT_CONFIRMATORY_AFTER_OUTCOME_BLIND_REPAIRS,13,true,true,true,false,HISTORY_EXCLUDED_WINDOW_WITHIN_DEVELOPMENT_EXPOSED_SEQUENCE,false,outcome_blind_exact_history_excluded_window
isj-p07-split-role-audit-v1,aqualoc_archaeology:A08:0002,aqualoc_archaeology,AQUALOC archaeology,A08,90.0,135.0,normal,STRICT_NORMAL,SEQUENCE_HELD_OUT_CONFIRMATORY_AFTER_OUTCOME_BLIND_REPAIRS,24,true,true,true,false,HISTORY_EXCLUDED_WINDOW_WITHIN_DEVELOPMENT_EXPOSED_SEQUENCE,false,outcome_blind_exact_history_excluded_window
isj-p07-split-role-audit-v1,aqualoc_archaeology:A10:0007,aqualoc_archaeology,AQUALOC archaeology,A10,315.0,360.0,normal,STRICT_NORMAL,SEQUENCE_HELD_OUT_CONFIRMATORY_AFTER_OUTCOME_BLIND_REPAIRS,22,true,true,true,false,HISTORY_EXCLUDED_WINDOW_WITHIN_DEVELOPMENT_EXPOSED_SEQUENCE,false,outcome_blind_exact_history_excluded_window
isj-p07-split-role-audit-v1,aqualoc_archaeology:A10:0013,aqualoc_archaeology,AQUALOC archaeology,A10,585.0,630.0,low,RELATIVE_Q80_FALLBACK,SEQUENCE_HELD_OUT_CONFIRMATORY_AFTER_OUTCOME_BLIND_REPAIRS,22,true,true,true,false,HISTORY_EXCLUDED_WINDOW_WITHIN_DEVELOPMENT_EXPOSED_SEQUENCE,false,outcome_blind_exact_history_excluded_window
