window_id,sequence,batch,raw_window,classification,positive_level,case_tags,confirmed_observation,interpretation_boundary,individual_feature_utility,future_mechanism_role,evidence
coe1_a01_00000_00900,A01,A,"[0,900)",PRACTICAL_LOSS,NONE,severe_negative;initialization_timing;repeat_instability,较长公开链与较大剂量仍伴随 APE/RPE 严重退化；C 首姿态较晚，misalignment 记录较多。,初始化时序关联不证明因果；不得将所有候选标为有害。,Not evaluated.,OUTCOME_KNOWN_DEVELOPMENT_CASE,case_registry.csv;backend_results.csv;common_support/coe1_a01_00000_00900/C-all_vs_B/
coe1_a03_00000_00900,A03,A,"[0,900)",PRACTICAL_LOSS,NONE,severe_negative;numerical_divergence,B 约 .858 m APE，三个 C APE 均达数千米；相同首姿态延迟及零 misalignment 代理未排除危险。,runability PASS 仅说明满足输出合同，数值可靠性失败的原因 Unknown。,Not evaluated.,OUTCOME_KNOWN_DEVELOPMENT_CASE,case_registry.csv;backend_results.csv;common_support/coe1_a03_00000_00900/C-all_vs_B/
coe1_a04_00000_00900,A04,A,"[0,900)",PRACTICAL_GAIN,ROBUST_PRACTICAL_GAIN,robust_positive;baseline_numerical_anomaly;later_first_pose;support_near_threshold,基线数值异常被 C 改善；C 首姿态更晚，支撑覆盖接近 70% 下限。,不能描述为可靠基线上的常规小幅改善，不能作为初始化因果证据。,Not evaluated.,OUTCOME_KNOWN_DEVELOPMENT_CASE,case_registry.csv;backend_results.csv;common_support/coe1_a04_00000_00900/C-all_vs_B/
coe1_a05_00000_00900,A05,A,"[0,900)",NOT_EVALUABLE,NONE,not_evaluable;short_reference,六轨运行均通过；参考 span 约 27 s，仅 27 common poses，小于 30。,精度 Not evaluated.；参考相对首姿态负值来自参考较晚起始，使用 raw-start 字段解释时序。,Not evaluated.,OUTCOME_KNOWN_DEVELOPMENT_CASE,case_registry.csv;backend_results.csv;common_support/coe1_a05_00000_00900/C-all_vs_B/
coe1_a06_00000_00900,A06,A,"[0,900)",SMALL_OR_UNCERTAIN,DIRECTIONAL_GAIN,uncertain;directional;baseline_repeat_instability;initialization_misalignment,中位数改善小于 B 的技术 range，保持 SMALL_OR_UNCERTAIN；B/C misalignment 代理较多。,不能用较好的 C 范围越过冻结 practical-range 条件；不要挑选稳定重复。,Not evaluated.,OUTCOME_KNOWN_DEVELOPMENT_CASE,case_registry.csv;backend_results.csv;common_support/coe1_a06_00000_00900/C-all_vs_B/
coe1_a07_00000_00900,A07,A,"[0,900)",PRACTICAL_GAIN,ROBUST_PRACTICAL_GAIN,robust_positive;earlier_first_pose,较大误差基线下 C 的 APE/RPE 完整范围改善，首姿态略早。,集合级正例；个体特征效用和初始化因果链 Not evaluated.。,Not evaluated.,OUTCOME_KNOWN_DEVELOPMENT_CASE,case_registry.csv;backend_results.csv;common_support/coe1_a07_00000_00900/C-all_vs_B/
coe1_a10_00000_00900,A10,A,"[0,900)",SMALL_OR_UNCERTAIN,DIRECTIONAL_GAIN,small_change;directional;guardrail_tradeoff,APE 小幅下降而 RPE 小幅增加，仍低于实用判断门槛。,方向性下降不是 practical gain。,Not evaluated.,OUTCOME_KNOWN_DEVELOPMENT_CASE,case_registry.csv;backend_results.csv;common_support/coe1_a10_00000_00900/C-all_vs_B/
coe1_h01_00000_00900,H01,A,"[0,900)",SMALL_OR_UNCERTAIN,NONE,small_change;nonzero_action,非零候选发布和实际残差使用，两项误差中位数略增。,中性不表示零作用量或每个候选无用。,Not evaluated.,OUTCOME_KNOWN_DEVELOPMENT_CASE,case_registry.csv;backend_results.csv;common_support/coe1_h01_00000_00900/C-all_vs_B/
coe1_h02_00000_00900,H02,A,"[0,900)",PRACTICAL_GAIN,ROBUST_PRACTICAL_GAIN,robust_positive;moderate_baseline_error;earlier_first_pose,中等误差基线下 C 的两指标稳定改善，首姿态较早，scale 均在接近 1 的量级。,不依赖 A04 型爆炸基线救回；但不能据此认定效用的因果来源。,Not evaluated.,OUTCOME_KNOWN_DEVELOPMENT_CASE,case_registry.csv;backend_results.csv;common_support/coe1_h02_00000_00900/C-all_vs_B/
coe1_h03_00000_00900,H03,A,"[0,900)",SMALL_OR_UNCERTAIN,DIRECTIONAL_GAIN,uncertain;directional;baseline_numerical_anomaly;C_repeat_instability,B 约 848 m；相同 C bag 下两个重复约 838 m，第三个约 .071 m；残差使用显著分化。,不得只报最佳重复；relative severe=False 与 runability PASS 均不表示绝对数值可靠。,Not evaluated.,OUTCOME_KNOWN_DEVELOPMENT_CASE,case_registry.csv;backend_results.csv;common_support/coe1_h03_00000_00900/C-all_vs_B/
coe1_h04_00000_00900,H04,A,"[0,900)",SMALL_OR_UNCERTAIN,NONE,small_change;nonzero_action,候选实际送入后端，APE/RPE 中位数有小幅增加。,完整保留小幅退化；不调整 practical loss 门槛。,Not evaluated.,OUTCOME_KNOWN_DEVELOPMENT_CASE,case_registry.csv;backend_results.csv;common_support/coe1_h04_00000_00900/C-all_vs_B/
coe1_h05_00000_00900,H05,A,"[0,900)",SMALL_OR_UNCERTAIN,NONE,small_change;nonzero_action,8610 发布观测和 50808 候选残差块/重复，两个误差中位数仍略增。,小变化是集合级条件结果，不是特征级 utility 标签。,Not evaluated.,OUTCOME_KNOWN_DEVELOPMENT_CASE,case_registry.csv;backend_results.csv;common_support/coe1_h05_00000_00900/C-all_vs_B/
