schema_version,queue_index,run_id,allocated_at,window_id,dataset_family,sequence,window_start,window_end,window_unit,texture_stratum,selection_tier,arm,frontend_seed,backend_replay,tag,command_sha256,command_source,expected_run_root,expected_feature_bag,status,queue_lock_hash,outcome_boundary
isj-p07-frontend-run-allocation-v1,1,isj-nativeq-v3_P07_aqualoc_archaeology-A02_4500-5400_B1_f0_b00_20260806T084500Z,2026-08-06T16:45:00+08:00,aqualoc_archaeology:A02:0005,aqualoc_archaeology,A02,4500,5400,frame,low,RELATIVE_Q80_FALLBACK,B1_klt_nativeq_v3,0,b00,isj_p07_aqualoc_archaeology_a02_0005_b1_attempt01,05a6dda2ea0387117850a5be805c73d29f24bed140a784efd9885bf11261520f,papers/ieee_sensors_journal_experiments/p07/frontend_export_queue_v1.csv#queue_index=1,logs/aqualoc_archaeo_vins,logs/aqualoc_archaeo_vins/external_klt_every2_isj_p07_aqualoc_archaeology_a02_0005_b1_attempt01/features.bag,PLANNED,23095fffe3474d3c85fd809c94b0bf4cd0094aa8bbc083b65dd1a4cc950144eb,FRONTEND_EXPORT_ONLY_NO_VINS_APE_RPE_TRAJECTORY
isj-p07-frontend-run-allocation-v1,2,isj-nativeq-v3_P07_aqualoc_archaeology-A02_4500-5400_M_f0_b00_20260806T084500Z,2026-08-06T16:45:00+08:00,aqualoc_archaeology:A02:0005,aqualoc_archaeology,A02,4500,5400,frame,low,RELATIVE_Q80_FALLBACK,M_xfeat_pairwise_nativeq_v1,0,b00,isj_p07_aqualoc_archaeology_a02_0005_m_attempt01,220c562dae36831d6cedd8272d7ad61c1dcb58928acdee0be453272780a5c1cc,papers/ieee_sensors_journal_experiments/p07/frontend_export_queue_v1.csv#queue_index=2,logs/aqualoc_archaeo_vins,logs/aqualoc_archaeo_vins/external_xfeat_every2_isj_p07_aqualoc_archaeology_a02_0005_m_attempt01/features.bag,PLANNED,23095fffe3474d3c85fd809c94b0bf4cd0094aa8bbc083b65dd1a4cc950144eb,FRONTEND_EXPORT_ONLY_NO_VINS_APE_RPE_TRAJECTORY
isj-p07-frontend-run-allocation-v1,3,isj-nativeq-v3_P07_aqualoc_archaeology-A02_4500-5400_P_f0_b00_20260806T084500Z,2026-08-06T16:45:00+08:00,aqualoc_archaeology:A02:0005,aqualoc_archaeology,A02,4500,5400,frame,low,RELATIVE_Q80_FALLBACK,P_legacy_nativeq_xfeat_seedchain_v3,0,b00,isj_p07_aqualoc_archaeology_a02_0005_p_attempt01,130dd140bd3c56ae59cb89beb315e7d74ba29544c09a937624801ff9ea03c034,papers/ieee_sensors_journal_experiments/p07/frontend_export_queue_v1.csv#queue_index=3,logs/aqualoc_archaeo_vins,,PLANNED,23095fffe3474d3c85fd809c94b0bf4cd0094aa8bbc083b65dd1a4cc950144eb,FRONTEND_EXPORT_ONLY_NO_VINS_APE_RPE_TRAJECTORY
isj-p07-frontend-run-allocation-v1,4,isj-nativeq-v3_P07_aqualoc_archaeology-A01_16200-17100_B1_f0_b00_20260806T084500Z,2026-08-06T16:45:00+08:00,aqualoc_archaeology:A01:0018,aqualoc_archaeology,A01,16200,17100,frame,low,RELATIVE_Q80_FALLBACK,B1_klt_nativeq_v3,0,b00,isj_p07_aqualoc_archaeology_a01_0018_b1_attempt01,5b5c191fd030dc78332bbbfc7c944abcf74c7fcbdadd8552e2f20153542a7f9c,papers/ieee_sensors_journal_experiments/p07/frontend_export_queue_v1.csv#queue_index=4,logs/aqualoc_archaeo_vins,logs/aqualoc_archaeo_vins/external_klt_every2_isj_p07_aqualoc_archaeology_a01_0018_b1_attempt01/features.bag,PLANNED,23095fffe3474d3c85fd809c94b0bf4cd0094aa8bbc083b65dd1a4cc950144eb,FRONTEND_EXPORT_ONLY_NO_VINS_APE_RPE_TRAJECTORY
isj-p07-frontend-run-allocation-v1,5,isj-nativeq-v3_P07_aqualoc_archaeology-A01_16200-17100_P_f0_b00_20260806T084500Z,2026-08-06T16:45:00+08:00,aqualoc_archaeology:A01:0018,aqualoc_archaeology,A01,16200,17100,frame,low,RELATIVE_Q80_FALLBACK,P_legacy_nativeq_xfeat_seedchain_v3,0,b00,isj_p07_aqualoc_archaeology_a01_0018_p_attempt01,64139dac1e29bbb3b4a0602419d30d4d991f485b48519069e325beb8d03982ae,papers/ieee_sensors_journal_experiments/p07/frontend_export_queue_v1.csv#queue_index=5,logs/aqualoc_archaeo_vins,,PLANNED,23095fffe3474d3c85fd809c94b0bf4cd0094aa8bbc083b65dd1a4cc950144eb,FRONTEND_EXPORT_ONLY_NO_VINS_APE_RPE_TRAJECTORY
isj-p07-frontend-run-allocation-v1,6,isj-nativeq-v3_P07_aqualoc_archaeology-A01_16200-17100_M_f0_b00_20260806T084500Z,2026-08-06T16:45:00+08:00,aqualoc_archaeology:A01:0018,aqualoc_archaeology,A01,16200,17100,frame,low,RELATIVE_Q80_FALLBACK,M_xfeat_pairwise_nativeq_v1,0,b00,isj_p07_aqualoc_archaeology_a01_0018_m_attempt01,fb6209732dcbf7c0201759d0bc854fd1a5607458cd69fe3a7de98457d9f20fa1,papers/ieee_sensors_journal_experiments/p07/frontend_export_queue_v1.csv#queue_index=6,logs/aqualoc_archaeo_vins,logs/aqualoc_archaeo_vins/external_xfeat_every2_isj_p07_aqualoc_archaeology_a01_0018_m_attempt01/features.bag,PLANNED,23095fffe3474d3c85fd809c94b0bf4cd0094aa8bbc083b65dd1a4cc950144eb,FRONTEND_EXPORT_ONLY_NO_VINS_APE_RPE_TRAJECTORY
isj-p07-frontend-run-allocation-v1,7,isj-nativeq-v3_P07_aqualoc_harbor-H05_1800-2700_P_f0_b00_20260806T084500Z,2026-08-06T16:45:00+08:00,aqualoc_harbor:H05:0002,aqualoc_harbor,H05,1800,2700,frame,normal,STRICT_NORMAL,P_legacy_nativeq_xfeat_seedchain_v3,0,b00,isj_p07_aqualoc_harbor_h05_0002_p_attempt01,707e34d23ad2e91313dced2783cc072477cf4c343744642d8d4e2b0845cf57ff,papers/ieee_sensors_journal_experiments/p07/frontend_export_queue_v1.csv#queue_index=7,logs/aqualoc_real_vins,,PLANNED,23095fffe3474d3c85fd809c94b0bf4cd0094aa8bbc083b65dd1a4cc950144eb,FRONTEND_EXPORT_ONLY_NO_VINS_APE_RPE_TRAJECTORY
isj-p07-frontend-run-allocation-v1,8,isj-nativeq-v3_P07_aqualoc_harbor-H05_1800-2700_M_f0_b00_20260806T084500Z,2026-08-06T16:45:00+08:00,aqualoc_harbor:H05:0002,aqualoc_harbor,H05,1800,2700,frame,normal,STRICT_NORMAL,M_xfeat_pairwise_nativeq_v1,0,b00,isj_p07_aqualoc_harbor_h05_0002_m_attempt01,d762bad3a54cb47f220afdc1b7103f1486fbaeb339973c889f0d915dd7a0cabe,papers/ieee_sensors_journal_experiments/p07/frontend_export_queue_v1.csv#queue_index=8,logs/aqualoc_real_vins,logs/aqualoc_real_vins/external_xfeat_every2_isj_p07_aqualoc_harbor_h05_0002_m_attempt01/features.bag,PLANNED,23095fffe3474d3c85fd809c94b0bf4cd0094aa8bbc083b65dd1a4cc950144eb,FRONTEND_EXPORT_ONLY_NO_VINS_APE_RPE_TRAJECTORY
isj-p07-frontend-run-allocation-v1,9,isj-nativeq-v3_P07_aqualoc_harbor-H05_1800-2700_B1_f0_b00_20260806T084500Z,2026-08-06T16:45:00+08:00,aqualoc_harbor:H05:0002,aqualoc_harbor,H05,1800,2700,frame,normal,STRICT_NORMAL,B1_klt_nativeq_v3,0,b00,isj_p07_aqualoc_harbor_h05_0002_b1_attempt01,cf462163745fb5aeb02e86ac85b393ef7d262b807148e094f332123ef1c26b59,papers/ieee_sensors_journal_experiments/p07/frontend_export_queue_v1.csv#queue_index=9,logs/aqualoc_real_vins,logs/aqualoc_real_vins/external_klt_every2_isj_p07_aqualoc_harbor_h05_0002_b1_attempt01/features.bag,PLANNED,23095fffe3474d3c85fd809c94b0bf4cd0094aa8bbc083b65dd1a4cc950144eb,FRONTEND_EXPORT_ONLY_NO_VINS_APE_RPE_TRAJECTORY
isj-p07-frontend-run-allocation-v1,10,isj-nativeq-v3_P07_ntnu-fjord_6_45-90_M_f0_b00_20260806T084500Z,2026-08-06T16:45:00+08:00,ntnu:fjord_6:0001,ntnu,fjord_6,45,90,second,normal,STRICT_NORMAL,M_xfeat_pairwise_nativeq_v1,0,b00,isj_p07_ntnu_fjord_6_0001_m_attempt01,d0c0a97c6de04385927eeab28d682b41fbe84a0d82b97e7e48b2def5c044889c,papers/ieee_sensors_journal_experiments/p07/frontend_export_queue_v1.csv#queue_index=10,logs/ntnu_vins,logs/ntnu_vins/external_xfeat_every2_isj_p07_ntnu_fjord_6_0001_m_attempt01/features.bag,PLANNED,23095fffe3474d3c85fd809c94b0bf4cd0094aa8bbc083b65dd1a4cc950144eb,FRONTEND_EXPORT_ONLY_NO_VINS_APE_RPE_TRAJECTORY
