window,arm,messages,feature_frames,proposed_different_frames,guarded_different_frames,published_learned_observations,first_fault,exact_klt,feature_bag,feature_bag_sha256,stream_sha256,mapped_replays,independent_replays,outcome,status
a09_6000_6800,continuation_xfeat,8533,400,11,0,0,"{'frame': 2, 'stamp_ns': '1542889046271565680', 'reason': 'baseline_observation_deleted'}",True,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_a02_init_trace_repair_v1/guard_validation/a09_6000_6800/continuation_xfeat/features.bag,6de8ffe9226c1c786bbd80b53049f2f4f1f58c2859808034b60b5dca171884ff,6de8ffe9226c1c786bbd80b53049f2f4f1f58c2859808034b60b5dca171884ff,3,0,TIE,SAFE_FALLBACK_ONLY
a09_6000_6800,continuation_splg,8533,400,0,0,0,,True,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_a02_init_trace_repair_v1/guard_validation/a09_6000_6800/continuation_splg/features.bag,6de8ffe9226c1c786bbd80b53049f2f4f1f58c2859808034b60b5dca171884ff,6de8ffe9226c1c786bbd80b53049f2f4f1f58c2859808034b60b5dca171884ff,3,0,TIE,SAFE_FALLBACK_ONLY
a02_0_900,continuation_xfeat,9542,450,4,0,0,"{'frame': 2, 'stamp_ns': '1542828791986278080', 'reason': 'baseline_observation_deleted'}",True,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_a02_init_trace_repair_v1/guard_validation/a02_0_900/continuation_xfeat/features.bag,5ebe451810a735ee37b40f244aca0162e37e398e2f5de13d76222d3d1e616520,5ebe451810a735ee37b40f244aca0162e37e398e2f5de13d76222d3d1e616520,3,0,TIE,SAFE_FALLBACK_ONLY
a02_0_900,continuation_splg,9542,450,4,0,0,"{'frame': 2, 'stamp_ns': '1542828791986278080', 'reason': 'baseline_observation_deleted'}",True,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_a02_init_trace_repair_v1/guard_validation/a02_0_900/continuation_splg/features.bag,5ebe451810a735ee37b40f244aca0162e37e398e2f5de13d76222d3d1e616520,5ebe451810a735ee37b40f244aca0162e37e398e2f5de13d76222d3d1e616520,3,0,TIE,SAFE_FALLBACK_ONLY
afrl_bus_s180_d045,continuation_xfeat,5347,282,1,0,0,"{'frame': 2, 'stamp_ns': '1494876660116016699', 'reason': 'baseline_observation_deleted'}",True,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_a02_init_trace_repair_v1/guard_validation/afrl_bus_s180_d045/continuation_xfeat/features.bag,9e4d546cb799f516d933944e9715d1551affe381ab2f0171876cebb95d01ae84,6501548988896fb48dca99e6268157ea4da69768bc513ba02be20d4d350cfd9c,3,0,TIE,SAFE_FALLBACK_ONLY
afrl_bus_s180_d045,continuation_splg,5347,282,0,0,0,,True,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_a02_init_trace_repair_v1/guard_validation/afrl_bus_s180_d045/continuation_splg/features.bag,9e4d546cb799f516d933944e9715d1551affe381ab2f0171876cebb95d01ae84,6501548988896fb48dca99e6268157ea4da69768bc513ba02be20d4d350cfd9c,3,0,TIE,SAFE_FALLBACK_ONLY
a08_2700_3600,continuation_xfeat,9587,450,0,0,0,,True,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_a02_init_trace_repair_v1/guard_validation/a08_2700_3600/continuation_xfeat/features.bag,17305db38262a2ed4c7fa05b6269c9ea50592de07387517dfec798cf086ceae9,17305db38262a2ed4c7fa05b6269c9ea50592de07387517dfec798cf086ceae9,3,0,TIE,SAFE_FALLBACK_ONLY
a08_2700_3600,continuation_splg,9587,450,0,0,0,,True,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_a02_init_trace_repair_v1/guard_validation/a08_2700_3600/continuation_splg/features.bag,17305db38262a2ed4c7fa05b6269c9ea50592de07387517dfec798cf086ceae9,17305db38262a2ed4c7fa05b6269c9ea50592de07387517dfec798cf086ceae9,3,0,TIE,SAFE_FALLBACK_ONLY
afrl_cemetery_s135_d045,continuation_xfeat,5561,357,0,0,0,,True,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_a02_init_trace_repair_v1/guard_validation/afrl_cemetery_s135_d045/continuation_xfeat/features.bag,c144ba971b2d7fc1b73980f9d1336d508f823db26f448f803df747536688169e,eadcaa9362dc67e3b948ce04289c79ae398f5c1f1180f74b23314518d58e7908,3,0,TIE,SAFE_FALLBACK_ONLY
afrl_cemetery_s135_d045,continuation_splg,5561,357,0,0,0,,True,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_a02_init_trace_repair_v1/guard_validation/afrl_cemetery_s135_d045/continuation_splg/features.bag,c144ba971b2d7fc1b73980f9d1336d508f823db26f448f803df747536688169e,eadcaa9362dc67e3b948ce04289c79ae398f5c1f1180f74b23314518d58e7908,3,0,TIE,SAFE_FALLBACK_ONLY
