level,pair_id,sequence,case,method,scope,query_count,visible_count,invisible_count,finite_count,missing_count,outside_count,accepted,correct,wrong_accepted,invisible_accepted,coverage,correct_visible_rate,wrong_rate,precision,invisible_rate,visible_epe_median,visible_epe_p90,visible_epe_p95,visible_le1_rate,visible_le2_rate
pair,A02_0_small,A02,small,B,all_queries,350,348,2,346,4,0,346,346,0,0,0.9885714285714285,0.9942528735632183,0.0,1.0,0.0,0.027536983433539372,0.05241034579665321,0.06876250862590857,0.9942528735632183,0.9942528735632183
pair,A02_0_small,A02,small,B,B_failures,4,2,2,0,4,0,0,0,0,0,0.0,0.0,0.0,,0.0,,,,0.0,0.0
pair,A02_0_small,A02,small,B,C_common_not_correct,4,2,2,0,4,0,0,0,0,0,0.0,0.0,0.0,,0.0,,,,0.0,0.0
pair,A02_0_small,A02,small,C_raw,all_queries,350,348,2,350,0,0,350,348,2,2,1.0,1.0,0.005714285714285714,0.9942857142857143,1.0,0.024580602122337904,0.0559706411256856,0.06149832447718947,1.0,1.0
pair,A02_0_small,A02,small,C_raw,B_failures,4,2,2,4,0,0,4,2,2,2,1.0,1.0,0.5,0.5,1.0,0.17276435131560391,0.17769677109997994,0.17831332357302693,1.0,1.0
pair,A02_0_small,A02,small,C_raw,C_common_not_correct,4,2,2,4,0,0,4,2,2,2,1.0,1.0,0.5,0.5,1.0,0.17276435131560391,0.17769677109997994,0.17831332357302693,1.0,1.0
pair,A02_0_small,A02,small,C_common,all_queries,350,348,2,350,0,0,342,342,0,0,0.9771428571428571,0.9827586206896551,0.0,1.0,0.0,0.024442726095011878,0.05523791974570942,0.06109755072020918,0.9827586206896551,0.9827586206896551
pair,A02_0_small,A02,small,C_common,B_failures,4,2,2,4,0,0,0,0,0,0,0.0,0.0,0.0,,0.0,,,,0.0,0.0
pair,A02_0_small,A02,small,C_common,C_common_not_correct,4,2,2,4,0,0,0,0,0,0,0.0,0.0,0.0,,0.0,,,,0.0,0.0
pair,A02_0_small,A02,small,C_production,all_queries,350,348,2,0,350,0,0,0,0,0,0.0,0.0,0.0,,0.0,,,,0.0,0.0
pair,A02_0_small,A02,small,C_production,B_failures,4,2,2,0,4,0,0,0,0,0,0.0,0.0,0.0,,0.0,,,,0.0,0.0
pair,A02_0_small,A02,small,C_production,C_common_not_correct,4,2,2,0,4,0,0,0,0,0,0.0,0.0,0.0,,0.0,,,,0.0,0.0
pair,A02_0_small,A02,small,S_raw,all_queries,350,348,2,350,0,0,350,348,2,2,1.0,1.0,0.005714285714285714,0.9942857142857143,1.0,0.015320247391800646,0.04316933768171218,0.053642599390083354,1.0,1.0
pair,A02_0_small,A02,small,S_raw,B_failures,4,2,2,4,0,0,4,2,2,2,1.0,1.0,0.5,0.5,1.0,0.02751185204530042,0.02775666059021504,0.027787261658329364,1.0,1.0
pair,A02_0_small,A02,small,S_raw,C_common_not_correct,4,2,2,4,0,0,4,2,2,2,1.0,1.0,0.5,0.5,1.0,0.02751185204530042,0.02775666059021504,0.027787261658329364,1.0,1.0
pair,A02_0_small,A02,small,S_common,all_queries,350,348,2,350,0,0,348,348,0,0,0.9942857142857143,1.0,0.0,1.0,0.0,0.015320247391800646,0.04316933768171218,0.053642599390083354,1.0,1.0
pair,A02_0_small,A02,small,S_common,B_failures,4,2,2,4,0,0,2,2,0,0,0.5,1.0,0.0,1.0,0.0,0.02751185204530042,0.02775666059021504,0.027787261658329364,1.0,1.0
pair,A02_0_small,A02,small,S_common,C_common_not_correct,4,2,2,4,0,0,2,2,0,0,0.5,1.0,0.0,1.0,0.0,0.02751185204530042,0.02775666059021504,0.027787261658329364,1.0,1.0
pair,A02_0_large,A02,large,B,all_queries,350,337,13,44,306,0,44,42,2,0,0.12571428571428572,0.12462908011869436,0.005714285714285714,0.9545454545454546,0.0,0.19729812571702676,0.39415498106719266,0.5435421335320582,0.12462908011869436,0.12462908011869436
pair,A02_0_large,A02,large,B,B_failures,306,293,13,0,306,0,0,0,0,0,0.0,0.0,0.0,,0.0,,,,0.0,0.0
pair,A02_0_large,A02,large,B,C_common_not_correct,180,167,13,0,180,0,0,0,0,0,0.0,0.0,0.0,,0.0,,,,0.0,0.0
pair,A02_0_large,A02,large,C_raw,all_queries,350,337,13,307,43,0,307,307,0,0,0.8771428571428571,0.9109792284866469,0.0,1.0,0.0,0.19302093263291364,0.39891154621270464,0.47791975590376046,0.9050445103857567,0.9109792284866469
pair,A02_0_large,A02,large,C_raw,B_failures,306,293,13,273,33,0,273,273,0,0,0.8921568627450981,0.931740614334471,0.0,1.0,0.0,0.19367528267719955,0.40057280015507146,0.49019169025236614,0.9249146757679181,0.931740614334471
pair,A02_0_large,A02,large,C_raw,C_common_not_correct,180,167,13,147,33,0,147,147,0,0,0.8166666666666667,0.8802395209580839,0.0,1.0,0.0,0.19302093263291364,0.44543593704502044,0.5492366511890319,0.8682634730538922,0.8802395209580839
pair,A02_0_large,A02,large,C_common,all_queries,350,337,13,307,43,0,151,151,0,0,0.43142857142857144,0.44807121661721067,0.0,1.0,0.0,0.19051479291919723,0.3715617843704918,0.4071093962617919,0.44807121661721067,0.44807121661721067
pair,A02_0_large,A02,large,C_common,B_failures,306,293,13,273,33,0,126,126,0,0,0.4117647058823529,0.4300341296928328,0.0,1.0,0.0,0.19486954246558305,0.3701721498853804,0.4076985304541803,0.4300341296928328,0.4300341296928328
pair,A02_0_large,A02,large,C_common,C_common_not_correct,180,167,13,147,33,0,0,0,0,0,0.0,0.0,0.0,,0.0,,,,0.0,0.0
pair,A02_0_large,A02,large,C_production,all_queries,350,337,13,125,225,0,125,125,0,0,0.35714285714285715,0.37091988130563797,0.0,1.0,0.0,0.19458940789141882,0.3704500767824027,0.40781635729265797,0.37091988130563797,0.37091988130563797
pair,A02_0_large,A02,large,C_production,B_failures,306,293,13,125,181,0,125,125,0,0,0.4084967320261438,0.42662116040955633,0.0,1.0,0.0,0.19458940789141882,0.3704500767824027,0.40781635729265797,0.42662116040955633,0.42662116040955633
pair,A02_0_large,A02,large,C_production,C_common_not_correct,180,167,13,0,180,0,0,0,0,0,0.0,0.0,0.0,,0.0,,,,0.0,0.0
pair,A02_0_large,A02,large,S_raw,all_queries,350,337,13,350,0,10,350,337,13,13,1.0,1.0,0.037142857142857144,0.9628571428571429,1.0,0.12919345773230376,0.19470873855670365,0.24062361462045262,1.0,1.0
pair,A02_0_large,A02,large,S_raw,B_failures,306,293,13,306,0,10,306,293,13,13,1.0,1.0,0.042483660130718956,0.9575163398692811,1.0,0.12785878208123458,0.19322368843545704,0.2437880069215879,1.0,1.0
pair,A02_0_large,A02,large,S_raw,C_common_not_correct,180,167,13,180,0,10,180,167,13,13,1.0,1.0,0.07222222222222222,0.9277777777777778,1.0,0.12945046487259376,0.23398690073154887,0.27504022183634524,1.0,1.0
pair,A02_0_large,A02,large,S_common,all_queries,350,337,13,350,0,10,337,337,0,0,0.9628571428571429,1.0,0.0,1.0,0.0,0.12919345773230376,0.19470873855670365,0.24062361462045262,1.0,1.0
pair,A02_0_large,A02,large,S_common,B_failures,306,293,13,306,0,10,293,293,0,0,0.9575163398692811,1.0,0.0,1.0,0.0,0.12785878208123458,0.19322368843545704,0.2437880069215879,1.0,1.0
pair,A02_0_large,A02,large,S_common,C_common_not_correct,180,167,13,180,0,10,167,167,0,0,0.9277777777777778,1.0,0.0,1.0,0.0,0.12945046487259376,0.23398690073154887,0.27504022183634524,1.0,1.0
pair,A02_0_illumination_blur,A02,illumination_blur,B,all_queries,350,347,3,267,83,0,267,263,4,0,0.7628571428571429,0.7579250720461095,0.011428571428571429,0.9850187265917603,0.0,0.21719066802635395,0.8869778672554663,1.1264286118027191,0.7089337175792507,0.7579250720461095
pair,A02_0_illumination_blur,A02,illumination_blur,B,B_failures,83,80,3,0,83,0,0,0,0,0,0.0,0.0,0.0,,0.0,,,,0.0,0.0
pair,A02_0_illumination_blur,A02,illumination_blur,B,C_common_not_correct,42,39,3,0,42,0,0,0,0,0,0.0,0.0,0.0,,0.0,,,,0.0,0.0
pair,A02_0_illumination_blur,A02,illumination_blur,C_raw,all_queries,350,347,3,344,6,0,344,338,6,2,0.9828571428571429,0.9740634005763689,0.017142857142857144,0.9825581395348837,0.6666666666666666,0.18757174585556968,0.7119703644544975,1.0124852915632014,0.930835734870317,0.9740634005763689
pair,A02_0_illumination_blur,A02,illumination_blur,C_raw,B_failures,83,80,3,77,6,0,77,73,4,2,0.927710843373494,0.9125,0.04819277108433735,0.948051948051948,0.6666666666666666,0.2150833077476918,1.031740931984826,1.5370847943869967,0.825,0.9125
pair,A02_0_illumination_blur,A02,illumination_blur,C_raw,C_common_not_correct,42,39,3,36,6,0,36,32,4,2,0.8571428571428571,0.8205128205128205,0.09523809523809523,0.8888888888888888,0.6666666666666666,0.2500555087109171,0.9388411804387594,1.8462854875373682,0.7692307692307693,0.8205128205128205
pair,A02_0_illumination_blur,A02,illumination_blur,C_common,all_queries,350,347,3,344,6,0,297,295,2,0,0.8485714285714285,0.8501440922190202,0.005714285714285714,0.9932659932659933,0.0,0.1833609437578939,0.6962030243385559,0.9302025515449737,0.8155619596541787,0.8501440922190202
pair,A02_0_illumination_blur,A02,illumination_blur,C_common,B_failures,83,80,3,77,6,0,41,41,0,0,0.4939759036144578,0.5125,0.0,1.0,0.0,0.1932603130507886,1.002610945144788,1.2492131969448026,0.45,0.5125
