sequence,case,stage,B_failures,visible_B_failures,invisible_B_failures,C_accepted,S_accepted,C_correct,S_correct,C_wrong,S_wrong,S_only,C_only,both,neither,S_only_correct,S_only_wrong,S_invisible_accepted,correct_rate_delta,full_coverage_delta,common_visible_accepted,C_common_epe_p95,S_common_epe_p95,sufficient,A,B,error_guards,pass_group
A02,small,filtered_gate,10,5,5,0,5,0,5,0,0,5,0,0,5,5,0,0,1.0,0.5,0,,,False,False,False,True,False
A02,small,raw_gate,10,5,5,10,10,5,5,5,5,0,0,10,0,0,0,5,0.0,0.0,5,0.17646366615388592,0.10639562488922694,False,False,False,True,False
A02,large,filtered_gate,1292,1224,68,532,1226,532,1224,0,2,694,0,532,66,692,2,2,0.565359477124183,0.5371517027863777,532,0.47602425448949326,0.1841649136495691,True,True,True,False,False
A02,large,raw_gate,1292,1224,68,1152,1292,1008,1224,144,68,140,0,1152,0,84,56,68,0.17647058823529413,0.10835913312693499,1140,113.42787979591706,0.22598354039174715,True,True,True,True,True
A02,illumination_blur,filtered_gate,293,287,6,131,287,128,287,3,0,157,1,130,5,157,0,0,0.554006968641115,0.5324232081911263,130,1.2817400203649676,0.16630702971743305,True,True,True,True,True
A02,illumination_blur,raw_gate,293,287,6,285,293,275,287,10,6,8,0,285,0,7,1,6,0.041811846689895474,0.027303754266211604,280,1.0521262402705356,0.16655483237450397,True,False,True,True,True
A02,outside_occluded,filtered_gate,1180,790,390,735,975,705,789,30,186,246,6,729,199,85,161,186,0.10632911392405063,0.2033898305084746,704,0.3300682034155486,0.1471170105636703,True,True,True,False,False
A02,outside_occluded,raw_gate,1180,790,390,1136,1180,739,790,397,390,44,0,1136,0,19,25,390,0.06455696202531645,0.03728813559322034,771,0.6690307996459238,0.15593067546948203,True,True,True,True,True
A08,small,filtered_gate,28,16,12,1,16,1,16,0,0,15,0,1,12,15,0,0,0.9375,0.5357142857142857,1,0.07226755146611605,0.06021721828819713,False,False,False,True,False
A08,small,raw_gate,28,16,12,28,28,16,16,12,12,0,0,28,0,0,0,12,0.0,0.0,16,0.1590035247077755,0.08801150781182235,False,False,False,True,False
A08,large,filtered_gate,1363,1258,105,101,1257,96,1257,5,0,1156,0,101,106,1156,0,0,0.9228934817170111,0.8481291269258987,101,1.0761780847135738,0.15584872143284156,True,True,True,True,True
A08,large,raw_gate,1363,1258,105,1273,1363,148,1258,1125,105,90,0,1273,0,73,17,105,0.8823529411764706,0.06603081438004402,1185,226.38595988531415,0.25473909851445203,True,True,True,True,True
A08,illumination_blur,filtered_gate,142,118,24,41,118,36,118,5,0,77,0,41,24,77,0,0,0.6949152542372882,0.5422535211267606,41,2.457965487734683,0.14438427509124996,True,True,True,True,True
A08,illumination_blur,raw_gate,142,118,24,133,142,96,118,37,24,9,0,133,0,0,9,24,0.1864406779661017,0.06338028169014084,118,16.863076776529738,0.18529411904892,True,True,True,True,True
A08,outside_occluded,filtered_gate,1106,648,458,541,672,527,646,14,26,140,9,532,425,119,21,26,0.18364197530864199,0.11844484629294756,527,0.8025752678916659,0.16096809326588649,True,True,True,False,False
A08,outside_occluded,raw_gate,1106,648,458,1056,1106,588,648,468,458,50,0,1056,0,2,48,458,0.09259259259259259,0.045207956600361664,646,116.47289981140403,0.16344538315184223,True,True,True,True,True
H02,small,filtered_gate,96,43,53,5,44,5,43,0,1,39,0,5,52,38,1,1,0.8837209302325582,0.40625,5,0.0935493039714546,0.1173968793468285,True,True,False,False,False
H02,small,raw_gate,96,43,53,96,96,43,43,53,53,0,0,96,0,0,0,53,0.0,0.0,43,0.2824151448721666,0.11420772802656415,True,False,True,True,True
H02,large,filtered_gate,1116,843,273,342,843,342,843,0,0,501,0,342,273,501,0,0,0.594306049822064,0.4489247311827957,342,0.7571942397857311,0.24321532488647887,True,True,True,True,True
H02,large,raw_gate,1116,843,273,625,1116,522,843,103,273,491,0,625,0,271,220,273,0.3807829181494662,0.4399641577060932,572,41.76297978686132,0.28247937311826166,True,True,True,True,True
H02,illumination_blur,filtered_gate,584,490,94,151,490,145,490,6,0,340,1,150,93,340,0,0,0.7040816326530612,0.5804794520547946,150,1.6678034051693178,0.13826568908932968,True,True,True,True,True
H02,illumination_blur,raw_gate,584,490,94,497,584,355,490,142,94,87,0,497,0,33,54,94,0.2755102040816326,0.14897260273972604,457,43.083524300227985,0.1896702955188357,True,True,True,True,True
H02,outside_occluded,filtered_gate,1161,810,351,158,901,155,807,3,94,744,1,157,259,650,94,94,0.8049382716049382,0.6399655469422911,157,0.5903318623189788,0.18884539004916318,True,True,True,False,False
H02,outside_occluded,raw_gate,1161,810,351,719,1161,349,810,370,351,442,0,719,0,310,132,351,0.5691358024691358,0.3807062876830319,500,168.37320967802205,0.2217907612932798,True,True,True,True,True
